"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","price_include_override","amount","tax_group_id","children_tax_ids","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing","active","include_base_amount","is_base_affected","fiscal_position_ids","original_tax_ids"
"l10n_jp_tax_purchase_10_ex","10% EX","11","General Taxpayer & Simplified Taxpayer: Standard Rate - Import","10% Import","purchase","","percent","","10","","","","base","invoice","","+Ded_S2_3_15B","","1","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_123200","+S2_3_15B","True","","","",""
"","","","","","","","","","","","","","base","refund","","-Ded_S2_3_15B","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_123200","-S2_3_15B","True","","","",""
"l10n_jp_tax_purchase_8_ex","8% EX","12","General Taxpayer & Simplified Taxpayer: Reduced Rate - Import","8% Import","purchase","","percent","","8","","","","base","invoice","","+Ded_S2_3_15A","","1","False","False","l10n_jp_fiscal_position_tax_reduction,l10n_jp_domestic_fiscal_position","l10n_jp_tax_purchase_10_ex"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_123200","+S2_3_15A","True","","","",""
"","","","","","","","","","","","","","base","refund","","-Ded_S2_3_15A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_123200","-S2_3_15A","True","","","",""
"l10n_jp_tax_purchase_0","0%","13","General Taxpayer & Simplified Taxpayer: Tax-free (Zero-rate)","0%","purchase","","percent","","0","","","","base","invoice","","","","1","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_123200","","True","","","",""
"","","","","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_123200","","True","","","",""
"l10n_jp_tax_purchase_0_exempt","0% EXEMPT","14","General Taxpayer & Simplified Taxpayer: Tax-exempt","Tax-exempt","purchase","","percent","","0","","","","base","invoice","","","","1","False","False","l10n_jp_fiscal_position_tax_exempt","l10n_jp_tax_purchase_10,l10n_jp_tax_purchase_8"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_123200","","True","","","",""
"","","","","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_123200","","True","","","",""
"l10n_jp_tax_purchase_10_taxable","10% Taxable","15","General Taxpayer: Standard Rate - Itemized Method","10% for Taxable Purpose","purchase","","percent","","10","","","","base","invoice","","+S2_3_9B","","0","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_123200","+S2_3_10B||+S2_3_19B||+S2_3_20B","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S2_3_9B","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_123200","-S2_3_10B||-S2_3_19B||-S2_3_20B","True","","","",""
"l10n_jp_tax_purchase_8_taxable","8% Taxable","16","General Taxpayer: Reduced Rate - Itemized Method","8% for Taxable Purpose","purchase","","percent","","8","","","","base","invoice","","+S2_3_9A","","0","False","False","l10n_jp_fiscal_position_tax_reduction,l10n_jp_domestic_fiscal_position","l10n_jp_tax_purchase_10_taxable"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_123200","+S2_3_10A||+S2_3_19A||+S2_3_20A","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S2_3_9A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_123200","-S2_3_10A||-S2_3_19A||-S2_3_20A","True","","","",""
"l10n_jp_tax_purchase_10_n_taxable","10% N-Taxable","17","General Taxpayer: Standard Rate - Itemized Method","10% for Non-taxable Purpose","purchase","","percent","","10","","","","base","invoice","","+S2_3_9B","","0","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_123200","+S2_3_10B||+S2_3_20B","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S2_3_9B","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_123200","-S2_3_10B||-S2_3_20B","True","","","",""
"l10n_jp_tax_purchase_8_n_taxable","8% N-Taxable","18","General Taxpayer: Reduced Rate - Itemized Method","8% for Non-taxable Purpose","purchase","","percent","","8","","","","base","invoice","","+S2_3_9A","","0","False","False","l10n_jp_fiscal_position_tax_reduction,l10n_jp_domestic_fiscal_position","l10n_jp_tax_purchase_10_n_taxable"
"","","","","","","","","","","","","100","tax","invoice","l10n_jp_123200","+S2_3_10A||+S2_3_20A","True","","","",""
"","","","","","","","","","","","","","base","refund","","-S2_3_9A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_jp_123200","-S2_3_10A||-S2_3_20A","True","","","",""
