"id","sequence","description","invoice_label","name","amount","amount_type","children_tax_ids","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@tr","price_include_override","l10n_tr_tax_withholding_code_id"
"tr_s_wh_20_IMH","1","Construction Works and Engineering-Architecture and Survey-Project Services Performed Along with These Works","-8%","WH 20% (4/10) - İMH","-8.0","percent","","none","tr_tax_group_wh_İMH","base","invoice","","+SAL_20_BASE_4_10","Tevkif KDV %20 (4/10) - İMH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_İMH"
"tr_s_wh_20_TMH","10","Withheld VAT 20% (Withholding 9/10) - TMH","-18%","WH 20% (9/10) - TMH","-18.0","percent","","none","tr_tax_group_wh_TMH","base","invoice","","+SAL_20_BASE_9_10","Tevkif KDV %20 (9/10) - TMH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_TMH"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_9_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_9_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_9_10","",""
"tr_s_wh_20_SKGI","11","Withheld VAT 20% (Withholding 9/10) - SKGİ","-18%","WH 20% (9/10) - SKGİ","-18.0","percent","","none","tr_tax_group_wh_SKGİ","base","invoice","","+SAL_20_BASE_9_10","Tevkif KDV %20 (9/10) - SKGİ","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_SKGİ"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_9_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_9_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_9_10","",""
"tr_s_wh_20_TH","12","Withheld VAT 20% (Withholding 9/10) - TH","-18%","WH 20% (9/10) - TH","-18.0","percent","","none","tr_tax_group_wh_TH","base","invoice","","+SAL_20_BASE_9_10","Tevkif KDV %20 (9/10) - TH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_TH"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_9_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_9_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_9_10","",""
"tr_s_wh_20_CBH","13","Withheld VAT 20% (Withholding 9/10) - ÇBH","-18%","WH 20% (9/10) - ÇBH","-18.0","percent","","none","tr_tax_group_wh_ÇBH","base","invoice","","+SAL_20_BASE_9_10","Tevkif KDV %20 (9/10) - ÇBH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_ÇBH"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_9_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_9_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_9_10","",""
"tr_s_wh_20_STH","14","Withheld VAT 20% (Withholding 5/10) - STH","-10%","WH 20% (5/10) - STH","-10.0","percent","","none","tr_tax_group_wh_STH","base","invoice","","+SAL_20_BASE_5_10","Tevkif KDV %20 (5/10) - STH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_STH"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_5_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_5_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_5_10","",""
"tr_s_wh_20_BBH","15","Withheld VAT 20% (Withholding 7/10) - BBH","-14%","WH 20% (7/10) - BBH","-14.0","percent","","none","tr_tax_group_wh_BBH","base","invoice","","+SAL_20_BASE_7_10","Tevkif KDV %20 (7/10) - BBH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_BBH"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_7_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_7_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_7_10","",""
"tr_s_wh_20_DH","16","Withheld VAT 20% (Withholding 5/10) - DH","-10%","WH 20% (5/10) - DH","-10.0","percent","","none","tr_tax_group_wh_DH","base","invoice","","+SAL_20_BASE_5_10","Tevkif KDV %20 (5/10) - DH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_DH"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_5_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_5_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_5_10","",""
"tr_s_wh_20_HMK","17","Withheld VAT 20% (Withholding 7/10) - HMK","-14%","WH 20% (7/10) - HMK","-14.0","percent","","none","tr_tax_group_wh_HMK","base","invoice","","+SAL_20_BASE_7_10","Tevkif KDV %20 (7/10) - HMK","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_HMK"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_7_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_7_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_7_10","",""
"tr_s_wh_20_DMK","18","Withheld VAT 20% (Withholding 7/10) - HMK","-14%","WH 20% (7/10) - DMK","-14.0","percent","","none","tr_tax_group_wh_DMK","base","invoice","","+SAL_20_BASE_7_10","Tevkif KDV %20 (7/10) - DMK","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_DMK"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_7_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_7_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_7_10","",""
"tr_s_wh_20_MUT","19","Withheld VAT 20% (Withholding 7/10) - MÜT","-14%","WH 20% (7/10) - MÜT","-14.0","percent","","none","tr_tax_group_wh_MÜT","base","invoice","","+SAL_20_BASE_7_10","Tevkif KDV %20 (7/10) - MÜT","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_MÜT"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_7_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_7_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_7_10","",""
"tr_s_wh_20_VHT","20","Withheld VAT 20% (Withholding 7/10) - VHT","-14%","WH 20% (7/10) - VHT","-14.0","percent","","none","tr_tax_group_wh_VHT","base","invoice","","+SAL_20_BASE_7_10","Tevkif KDV %20 (7/10) - VHT","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_VHT"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_7_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_7_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_7_10","",""
"tr_s_wh_20_DLDT","21","Withheld VAT 20% (Withholding 9/10) - DLDT","-18%","WH 20% (9/10) - DLDT","-18.0","percent","","none","tr_tax_group_wh_DLDT","base","invoice","","+SAL_20_BASE_9_10","Tevkif KDV %20 (9/10) - DLDT","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_DLDT"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_9_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_9_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_9_10","",""
"tr_s_wh_20_OUT","22","Withheld VAT 20% (Withholding 9/10) - OÜT","-18%","WH 20% (9/10) - OÜT","-18.0","percent","","none","tr_tax_group_wh_OÜT","base","invoice","","+SAL_20_BASE_9_10","Tevkif KDV %20 (9/10) - OÜT","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_OÜT"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_9_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_9_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_9_10","",""
"tr_s_wh_20_AUT","23","Withheld VAT 20% (Withholding 5/10) - AÜT","-10%","WH 20% (5/10) - AÜT","-10.0","percent","","none","tr_tax_group_wh_AÜT","base","invoice","","+SAL_20_BASE_5_10","Tevkif KDV %20 (5/10) - AÜT","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_AÜT"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_5_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_5_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_5_10","",""
"tr_s_wh_20_YTH","24","Withheld VAT 20% (Withholding 2/10) - YTH","-4%","WH 20% (2/10) - YTH","-4.0","percent","","none","tr_tax_group_wh_YTH","base","invoice","","+SAL_20_BASE_2_10","Tevkif KDV %20 (2/10) - YTH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_YTH"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_2_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_2_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_2_10","",""
"tr_s_wh_20_TRH","25","Withheld VAT 20% (Withholding 3/10) - TRH","-6%","WH 20% (3/10) - TRH","-6.0","percent","","none","tr_tax_group_wh_TRH","base","invoice","","+SAL_20_BASE_3_10","Tevkif KDV %20 (3/10) - TRH","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_TRH"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_3_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_3_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_3_10","",""
"tr_s_wh_20_DT","26","Withheld VAT 20% (Withholding 2/10) - DT","-4%","WH 20% (2/10) - DT","-4.0","percent","","none","tr_tax_group_wh_DT","base","invoice","","+SAL_20_BASE_2_10","Tevkif KDV %20 (2/10) - DT","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_DT"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_2_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_2_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_2_10","",""
"tr_s_wh_20_DCUT","27","Withheld VAT 20% (Withholding 5/10) - DÇÜT","-10%","WH 20% (5/10) - DÇÜT","-10.0","percent","","none","tr_tax_group_wh_DÇÜT","base","invoice","","+SAL_20_BASE_5_10","Tevkif KDV %20 (5/10) - DÇÜT","tax_excluded","l10n_tr_nilvera_einvoice_extended.l10n_tr_account_tax_code_DÇÜT"
"","","","","","","","","","","tax","invoice","tr391004","-SAL_20_TAX_5_10","",""
"","","","","","","","","","","base","refund","","-SAL_20_BASE_5_10","",""
"","","","","","","","","","","tax","refund","tr391004","+SAL_20_TAX_5_10","",""
"tr_s_vat_wh_20_IMH","28","sales VAT with Withholding Tax 20% (4/10) - İMH","","WH 20% (4/10) - İMH","0.0","group","tr_s_wh_20_İMH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (4/10) - İMH","",""
"tr_s_vat_wh_20_PDH","29","sales VAT with Withholding Tax 20% (9/10) - PDH","","WH 20% (9/10) - PDH","0.0","group","tr_s_wh_20_PDH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - PDH","",""
"tr_s_vat_wh_20_MEBH","30","sales VAT with Withholding Tax 20% (7/10) - MEBH","","WH 20% (7/10) - MEBH","0.0","group","tr_s_wh_20_MEBH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (7/10) - MEBH","",""
"tr_s_vat_wh_20_YSH","31","sales VAT with Withholding Tax 20% (5/10) - YSH","","WH 20% (5/10) - YSH","0.0","group","tr_s_wh_20_YSH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (5/10) - YSH","",""
"tr_s_vat_wh_20_OH","32","sales VAT with Withholding Tax 20% (5/10) - OH","","WH 20% (5/10) - OH","0.0","group","tr_s_wh_20_OH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (5/10) - OH","",""
"tr_s_vat_wh_20_İTH","33","sales VAT with Withholding Tax 20% (9/10) - İTH","","WH 20% (9/10) - İTH","0.0","group","tr_s_wh_20_İTH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - İTH","",""
"tr_s_vat_wh_20_OGH","34","sales VAT with Withholding Tax 20% (9/10) - ÖGH","","WH 20% (9/10) - ÖGH","0.0","group","tr_s_wh_20_OGH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - ÖGH","",""
"tr_s_vat_wh_20_YDH","35","sales VAT with Withholding Tax 20% (9/10) - YDH","","WH 20% (9/10) - YDH","0.0","group","tr_s_wh_20_YDH,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (9/10) - YDH","",""
"tr_s_vat_wh_20_FTKI","36","sales VAT with Withholding Tax 20% (7/10) - FTKİ","","WH 20% (7/10) - FTKİ","0.0","group","tr_s_wh_20_FTKI,tr_s_20","sale","tr_tax_group_kdv_20","","","","","Stopajlı Satış KDVsi %20 (7/10) - FTKİ","",""
